"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","TMAX","TMIN","TOBS"
"USC00186350","38.9133","-76.97","15.2","1949-03-20","48","25","48"
"USC00186350","38.9133","-76.97","15.2","1949-03-21","67","28","66"
"USC00186350","38.9133","-76.97","15.2","1949-03-22","71","47","64"
"USC00186350","38.9133","-76.97","15.2","1949-03-23","72","55","68"
"USC00186350","38.9133","-76.97","15.2","1949-03-24","68","41","60"
"USC00186350","38.9133","-76.97","15.2","1949-03-25","60","46","57"
"USC00186350","38.9133","-76.97","15.2","1949-03-26","65","55","65"
"USC00186350","38.9133","-76.97","15.2","1949-03-27","83","60","83"
"USC00186350","38.9133","-76.97","15.2","1949-03-28","83","57","61"
"USC00186350","38.9133","-76.97","15.2","1949-03-29","76","44","75"
"USC00186350","38.9133","-76.97","15.2","1949-03-30","82","51","80"
"USC00186350","38.9133","-76.97","15.2","1949-03-31","80","49","49"
"USC00186350","38.9133","-76.97","15.2","1949-04-01","49","40","47"
"USC00186350","38.9133","-76.97","15.2","1949-04-02","59","35","59"
"USC00186350","38.9133","-76.97","15.2","1949-04-03","62","40","58"
"USC00186350","38.9133","-76.97","15.2","1949-04-04","61","42","60"
"USC00186350","38.9133","-76.97","15.2","1949-04-05","61","33","53"
"USC00186350","38.9133","-76.97","15.2","1949-04-06","60","42","59"
"USC00186350","38.9133","-76.97","15.2","1949-04-07","60","40","56"
"USC00186350","38.9133","-76.97","15.2","1949-04-08","61","40","54"
"USC00186350","38.9133","-76.97","15.2","1949-04-09","60","39","58"
"USC00186350","38.9133","-76.97","15.2","1949-04-10","63","38","62"
"USC00186350","38.9133","-76.97","15.2","1949-04-11","63","43","60"
"USC00186350","38.9133","-76.97","15.2","1949-04-12","72","39","69"
"USC00186350","38.9133","-76.97","15.2","1949-04-13","70","52","60"
"USC00186350","38.9133","-76.97","15.2","1949-04-14","75","51","73"
"USC00186350","38.9133","-76.97","15.2","1949-04-15","86","49","84"
"USC00186350","38.9133","-76.97","15.2","1949-04-16","85","42","46"
"USC00186350","38.9133","-76.97","15.2","1949-04-17","59","32","57"
"USC00186350","38.9133","-76.97","15.2","1949-04-18","62","45","62"
"USC00186350","38.9133","-76.97","15.2","1949-04-19","63","38","56"
"USC00186350","38.9133","-76.97","15.2","1949-04-20","67","40","66"
"USC00186350","38.9133","-76.97","15.2","1949-04-21","79","45","77"
"USC00186350","38.9133","-76.97","15.2","1949-04-22","77","52","59"
"USC00186350","38.9133","-76.97","15.2","1949-04-23","75","51","73"
"USC00186350","38.9133","-76.97","15.2","1949-04-24","74","48","55"
"USC00186350","38.9133","-76.97","15.2","1949-04-25","65","40","64"
"USC00186350","38.9133","-76.97","15.2","1949-04-26","85","44","83"
"USC00186350","38.9133","-76.97","15.2","1949-04-27","85","59","70"
"USC00186350","38.9133","-76.97","15.2","1949-04-28","71","51","66"
"USC00186350","38.9133","-76.97","15.2","1949-04-29","68","32","66"
"USC00186350","38.9133","-76.97","15.2","1949-04-30","73","38","69"
"USC00186350","38.9133","-76.97","15.2","1949-05-01","77","59","69"
"USC00186350","38.9133","-76.97","15.2","1949-05-02","75","64","70"
"USC00186350","38.9133","-76.97","15.2","1949-05-03","83","57","81"
"USC00186350","38.9133","-76.97","15.2","1949-05-04","89","50","88"
"USC00186350","38.9133","-76.97","15.2","1949-05-05","90","56","89"
"USC00186350","38.9133","-76.97","15.2","1949-05-06","93","65","92"
"USC00186350","38.9133","-76.97","15.2","1949-05-07","93","64","79"
"USC00186350","38.9133","-76.97","15.2","1949-05-08","79","51","72"
"USC00186350","38.9133","-76.97","15.2","1949-05-09","79","47","77"
"USC00186350","38.9133","-76.97","15.2","1949-05-10","77","58","59"
"USC00186350","38.9133","-76.97","15.2","1949-05-11","59","48","51"
"USC00186350","38.9133","-76.97","15.2","1949-05-12","72","38","71"
"USC00186350","38.9133","-76.97","15.2","1949-05-13","73","45","73"
"USC00186350","38.9133","-76.97","15.2","1949-05-14","85","49","84"
"USC00186350","38.9133","-76.97","15.2","1949-05-15","85","56","78"
"USC00186350","38.9133","-76.97","15.2","1949-05-16","78","56","68"
"USC00186350","38.9133","-76.97","15.2","1949-05-17","78","58","77"
"USC00186350","38.9133","-76.97","15.2","1949-05-18","86","60","86"
"USC00186350","38.9133","-76.97","15.2","1949-05-19","89","67","88"
"USC00186350","38.9133","-76.97","15.2","1949-05-20","89","66","67"
"USC00186350","38.9133","-76.97","15.2","1949-05-21","69","53","66"
"USC00186350","38.9133","-76.97","15.2","1949-05-22","75","52","75"
"USC00186350","38.9133","-76.97","15.2","1949-05-23","77","61","76"
"USC00186350","38.9133","-76.97","15.2","1949-05-24","83","54","81"
"USC00186350","38.9133","-76.97","15.2","1949-05-25","82","55","68"
"USC00186350","38.9133","-76.97","15.2","1949-05-26","68","45","65"
"USC00186350","38.9133","-76.97","15.2","1949-05-27","68","44","65"
"USC00186350","38.9133","-76.97","15.2","1949-05-28","68","48","68"
"USC00186350","38.9133","-76.97","15.2","1949-05-29","68","41","67"
"USC00186350","38.9133","-76.97","15.2","1949-05-30","73","42","73"
"USC00186350","38.9133","-76.97","15.2","1949-05-31","81","50","79"
"USC00186350","38.9133","-76.97","15.2","1949-06-01","81","50","79"
"USC00186350","38.9133","-76.97","15.2","1949-06-02","80","49","77"
"USC00186350","38.9133","-76.97","15.2","1949-06-03","78","45","76"
"USC00186350","38.9133","-76.97","15.2","1949-06-04","82","50","81"
"USC00186350","38.9133","-76.97","15.2","1949-06-05","86","63","86"
"USC00186350","38.9133","-76.97","15.2","1949-06-06","87","61","87"
"USC00186350","38.9133","-76.97","15.2","1949-06-07","88","60","74"
"USC00186350","38.9133","-76.97","15.2","1949-06-08","75","49","72"
"USC00186350","38.9133","-76.97","15.2","1949-06-09","78","44","77"
"USC00186350","38.9133","-76.97","15.2","1949-06-10","78","54","77"
"USC00186350","38.9133","-76.97","15.2","1949-06-11","86","65",
"USC00186350","38.9133","-76.97","15.2","1949-06-12","91","67","90"
"USC00186350","38.9133","-76.97","15.2","1949-06-13","91","68","88"
"USC00186350","38.9133","-76.97","15.2","1949-06-14","90","67","89"
"USC00186350","38.9133","-76.97","15.2","1949-06-15","89","63","87"
"USC00186350","38.9133","-76.97","15.2","1949-06-16","88","65","75"
"USC00186350","38.9133","-76.97","15.2","1949-06-17","79","69","75"
"USC00186350","38.9133","-76.97","15.2","1949-06-18","75","69","74"
"USC00186350","38.9133","-76.97","15.2","1949-06-19","85","70","81"
"USC00186350","38.9133","-76.97","15.2","1949-06-20","85","70","85"
"USC00186350","38.9133","-76.97","15.2","1949-06-21","94","71","92"
"USC00186350","38.9133","-76.97","15.2","1949-06-22","93","72","89"
"USC00186350","38.9133","-76.97","15.2","1949-06-23","90","60","86"
"USC00186350","38.9133","-76.97","15.2","1949-06-24","92","62","91"
"USC00186350","38.9133","-76.97","15.2","1949-06-25","91","75","86"
"USC00186350","38.9133","-76.97","15.2","1949-06-26","95","73","92"
"USC00186350","38.9133","-76.97","15.2","1949-06-27","94","75","90"
"USC00186350","38.9133","-76.97","15.2","1949-06-28","91","72","74"
"USC00186350","38.9133","-76.97","15.2","1949-06-29","76","65","75"
